,stock_id,date,open,high,low,close,volume,index_value,ticker
3559,5,2022-01-14,325.31,336.365,315.43,331.9,86904480,4.89,META
3560,5,2022-01-07,338.295,343.0854,322.72,331.79,93810173,4.56,META
3561,5,2021-12-31,338.845,352.71,336.27,336.35,68289517,5.5,META
3562,5,2021-12-17,330.95,344.46,323.98,333.79,130738667,5.43,META
3563,5,2021-12-10,308.13,336.13,306.34,329.75,91897246,6.18,META
3564,5,2021-12-03,336.89,340.67,299.5,306.84,124292219,5.67,META
3565,5,2021-11-26,349.05,353.83,331.902,333.12,72658715,6.4,META
3566,5,2021-11-19,344.34,353.65,335.3,345.3,100836297,5.82,META
3567,5,2021-11-12,344.42,344.789,325.51,340.89,95160268,5.41,META
3568,5,2021-11-05,326.04,346.79,323.2,341.13,129578076,5.44,META
3569,5,2021-10-29,320.3,330.2099,308.11,323.57,221900985,5.9,META
3570,5,2021-10-22,328.95,343.98,321.11,324.61,105589765,5.54,META
3571,5,2021-10-15,327.625,330.52,317.37,324.76,97026902,6.52,META
3572,5,2021-10-08,335.53,338.84,322.7,330.05,148959498,6.08,META
3573,5,2021-10-01,349.805,355.15,338.15,343.01,82820775,6.65,META
3574,5,2021-09-24,359.3,361.03,340.6901,352.96,115875745,6.63,META
3575,5,2021-09-17,381.68,381.75,361.59,364.72,77911324,6.62,META
3576,5,2021-09-10,375.88,383.79,373.15,378.69,42514622,6.76,META
3577,5,2021-09-03,372.56,384.33,370.52,376.26,59809404,6.74,META
3578,5,2021-08-27,359.44,373.74,359.1,372.63,48969499,7.06,META
3579,5,2021-08-20,362.52,366.95,351.0,359.37,54305589,6.41,META
3580,5,2021-08-13,363.7623,365.775,357.11,363.18,38028702,7.06,META
3581,5,2021-08-06,358.1,365.15,347.7,363.51,58939289,6.66,META
3582,5,2021-07-30,369.58,377.5499,352.94,356.3,108494684,7.26,META
3583,5,2021-07-23,337.57,375.33,334.5,369.79,80756048,7.3,META
3584,5,2021-07-16,351.23,358.49,340.14,341.16,61176495,7.39,META
3585,5,2021-07-09,356.5,358.79,342.56,350.42,55132472,6.77,META
3586,5,2021-07-02,342.46,358.14,341.77,354.7,94342586,8.6,META
3587,5,2021-06-25,331.09,344.9,327.65,341.37,68424185,8.24,META
3588,5,2021-06-18,331.9,339.92,328.72,329.66,85910843,8.67,META
3589,5,2021-06-11,329.48,338.2999,328.545,331.26,75273262,9.0,META
3590,5,2021-06-04,330.15,332.455,323.48,330.35,49320352,8.2,META
3591,5,2021-05-28,318.21,333.78,318.03,328.73,75084394,9.84,META
3592,5,2021-05-21,313.55,319.93,303.57,316.23,79951132,9.75,META
3593,5,2021-05-14,314.35,316.85,298.19,315.94,105125150,9.85,META
3594,5,2021-05-07,326.17,328.55,313.12,319.08,93258608,9.83,META
3595,5,2021-04-30,303.3396,331.81,301.11,325.08,148248253,10.56,META
3596,5,2021-04-23,305.007,307.7,296.04,301.13,80148271,10.54,META
3597,5,2021-04-16,311.05,314.428,301.95,306.18,69957691,10.21,META
3598,5,2021-04-09,300.89,315.88,300.68,312.46,105310209,10.26,META
3599,5,2021-03-26,290.45,299.705,277.75,283.02,112083881,6.59,META
3600,5,2021-03-19,269.08,292.8,268.5,290.11,118294844,3.84,META
3601,5,2021-03-12,265.55,277.9,255.05,268.4,97076003,1.22,META
3602,5,2021-03-05,260.82,266.71,253.5,264.28,111309010,1.04,META
3603,5,2021-02-26,257.95,267.46,254.04,257.62,99703327,0.15,META
3604,5,2021-02-19,270.8,276.6,260.15,261.56,68908015,-0.9,META
3605,5,2021-02-12,268.75,273.7999,265.0,270.5,64289912,0.55,META
3606,5,2021-02-05,259.52,269.2,254.91,268.1,82616337,0.0,META
3607,5,2021-01-29,278.14,286.79,254.85,258.33,141955163,-0.01,META
3608,5,2021-01-22,256.9,278.47,252.7201,274.5,96021194,0.42,META
3609,5,2021-01-15,260.48,263.47,244.61,251.36,130395686,0.34,META
3610,5,2021-01-08,274.78,275.0,260.01,267.57,83649826,0.33,META
3611,5,2020-12-18,273.3722,280.44,267.47,276.4,99312433,-0.29,META
3612,5,2020-12-11,279.19,288.49,270.25,273.55,83401514,-0.9,META
3613,5,2020-12-04,276.03,291.78,271.01,279.7,78459068,-0.73,META
3614,5,2020-11-27,270.89,280.18,264.53,277.81,58118722,-0.43,META
3615,5,2020-11-20,275.05,279.41,269.19,269.7,71249664,-1.09,META
3616,5,2020-11-13,289.87,292.58,264.0,276.95,92456598,-1.16,META
3617,5,2020-11-06,264.6,297.38,257.34,293.41,118206569,-1.08,META
3618,5,2020-10-30,283.16,285.23,259.1,263.11,140399102,-1.15,META
3619,5,2020-10-23,265.53,285.24,259.88,284.79,95604020,-1.36,META
3620,5,2020-10-16,270.2,280.18,263.67,265.93,96722519,-1.83,META
3621,5,2020-10-09,262.2,265.69,254.82,264.45,85073151,-1.74,META
3622,5,2020-10-02,259.4,268.33,254.8208,259.94,95561702,-2.11,META
